Model,Must Include,Single_Target_Strategy,Fine_Tuning_Strategy,Learning Rate,Turing1,Multi_Target_Strategy,Loss Function,Batch Size,Weight Decay,Optimizer,Scheduler,Image Augmentations,Dropout,Loss-Specific Params,Pretrained_Weights,Expected_GPU_Memory,Architectural_Family,Class_Weighting,Sampling_Strategy,Threshold_Selection
ResNet-18,Yes,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",Yes,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,4-6GB,CNN,inverse_frequency,balanced_batch,F1_optimal
ResNet-34,Yes,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",Yes,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,6-8GB,CNN,inverse_frequency,balanced_batch,F1_optimal
DenseNet-121,Yes,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",Yes,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,8-10GB,CNN,inverse_frequency,balanced_batch,F1_optimal
EfficientNet-B0,Yes,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",Yes,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,6-8GB,CNN,inverse_frequency,balanced_batch,F1_optimal
EfficientNet-B4,No,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,12-16GB,CNN,inverse_frequency,balanced_batch,F1_optimal
ConvNeXt-Base,No,Direct classification head,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,10-12GB,Modern CNN,inverse_frequency,balanced_batch,F1_optimal
ViT-Small (DINOv2),Yes,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",Yes,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,DINOv2 (self-supervised),8-10GB,Vision Transformer,inverse_frequency,balanced_batch,F1_optimal
ViT-Base (DINOv2),No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,DINOv2 (self-supervised),12-16GB,Vision Transformer,inverse_frequency,balanced_batch,F1_optimal
ViT-Large (DINOv2),No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,DINOv2 (self-supervised),24-32GB,Vision Transformer,inverse_frequency,balanced_batch,F1_optimal
Swin Transformer-Base,No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet-22K,12-16GB,Hierarchical Transformer,inverse_frequency,balanced_batch,F1_optimal
MaxViT-Base,No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,ImageNet,14-18GB,Hybrid CNN-Transformer,inverse_frequency,balanced_batch,F1_optimal
CLIP-ViT-B/16 (full fine-tuning),No,CLS token classification,Full fine-tuning,1e-5,No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,CLIP (OpenAI),12-16GB,Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
CLIP-ViT-B/16 (frozen linear probe),No,CLS token classification,linear_probe,"[1e-5, 1e-4, 1e-3]",Yes,Task-specific heads only,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,CLIP (OpenAI),8-10GB,Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
CLIP-ViT-L/14 (full fine-tuning),No,CLS token classification,Full fine-tuning,1e-5,No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,CLIP (OpenAI),24-32GB,Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
BLIP-2 ViT-Base,No,CLS token classification,Full fine-tuning,1e-5,No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,BLIP-2 (Salesforce),16-20GB,Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
Stable Diffusion v1.5 VAE Encoder,No,Global average pooling,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,Stable Diffusion v1.5,12-16GB,Diffusion Model,inverse_frequency,balanced_batch,F1_optimal
Stable Diffusion v1.5 VAE Encoder (frozen),No,Global average pooling,linear_probe,"[1e-5, 1e-4, 1e-3]",Yes,Task-specific heads only,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,Stable Diffusion v1.5,8-10GB,Diffusion Model,inverse_frequency,balanced_batch,F1_optimal
Stable Diffusion XL VAE Encoder,No,Global average pooling,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,Stable Diffusion XL,20-24GB,Diffusion Model,inverse_frequency,balanced_batch,F1_optimal
DiT-Base (Diffusion Transformer),No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,DiT pre-training,16-20GB,Diffusion Model,inverse_frequency,balanced_batch,F1_optimal
MAE ViT-Base (self-supervised),No,CLS token classification,Full fine-tuning,"[1e-5, 1e-4, 1e-3]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,MAE (self-supervised),12-16GB,Self-Supervised Transformer,inverse_frequency,balanced_batch,F1_optimal
MedGemma,No,CLS token classification,Full fine-tuning,"[1e-6, 1e-5, 1e-4]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,MedGemma (medical pre-training),16-24GB,Medical Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
MedCLIP,No,CLS token classification,Full fine-tuning,"[1e-6, 1e-5, 1e-4]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,MedCLIP (medical pre-training),12-16GB,Medical Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
BiomedCLIP,No,CLS token classification,Full fine-tuning,"[1e-6, 1e-5, 1e-4]",No,Shared backbone + task-specific heads,CE,16,1e-04,AdamW,CosineAnnealing,"rotation (±15°), horizontal flip, random crop, color jitter (brightness±0.2, contrast±0.2), ImageNet normalization",0.2,class_weights=inverse_frequency,BiomedCLIP (biomedical pre-training),12-16GB,Medical Vision-Language Model,inverse_frequency,balanced_batch,F1_optimal
